high_res,low_res
trash,basura
flyer,volante
stimulant,estimulante
cloven,rajado
cauterize,cauterizar
coppersmith,calderero
spoon,cuchara
discern,discernir
bulimic,bulímico
voting,votando
this,esto
estival,estival
nomadic,nómada
theoretic,teórico
jolt,traquetear
extradite,extraditar
acceptable,aceptable
retroactive,retroactivo
linguistic,lingüístico
tush,trasero
bilingual,bilingüe
withdraw,sacar
sterile,estéril
lavender,lavanda
yoke,uncir
arouse,despertar
Spanish,español
confront,enfrentar
beau,novio
acknowledgment,reconocimiento
naturalness,naturalidad
expropriate,expropiar
identifiable,identificable
comptroller,controlador
informally,informalmente
sort,ordenar
impulsive,impulsivo
celebrated,celebrado
thunderstruck,estupefacto
froth,espumar
introspective,introspectivo
carve,trinchar
accompany,acompañar
musk,almizcle
cognizant,consciente
behave,comportarse
dendritic,dendrítico
prognosticate,pronosticar
offload,librarse
genealogical,genealógico
meringue,merengue
situate,situar
crown,coronar
anorexic,anoréxico
odd,impar
correlation,correlación
Benin,Benín
massive,masivo
intensify,intensificar
baleful,funesto
echelon,escalón
chairperson,presidente
guarantee,garantizar
enjoy,disfrutar
imperialist,imperialista
vitalist,vitalista
open-ended,abierto
exemplary,ejemplar
Wikipedian,wikipedista
ideally,idealmente
undermine,socavar
aerodynamical,aerodinámico
grill,asar
delinquent,delincuente
Navarrese,navarro
punch,perforar
coat,cubrir
madder,rubia
next,próximo
complimentary,lisonjero
hydrodynamic,hidrodinámico
amorous,enamorado
Czech,checo
obstetric,obstétrico
mischievous,travieso
serious,serio
asthmatic,asmático
polysyllabic,polisílabo
plan,planear
fetter,engrilletar
Oedipal,edípico
Mazandaran,Mazandarán
retreat,retiro
arrogate,arrogarse
apocryphal,apócrifo
ophthalmological,oftalmológico
sinkhole,cenote
Cantonese,cantonés
coordination,coordinación
quotidianly,cotidianamente
reticent,reticente
shutdown,apagado
despise,desdeñar
rotoscope,thaumatropio
impoundment,inmovilización
suggest,sugerir
backtrack,repasar
honour,honrar
statistically,estadísticamente
cynical,cínico
gullible,crédulo
roar,bramar
suffering,sufrido
Ghanaian,ghanés
wicked,malvado
glossolalia,glosolalia
editorialize,editorializar
stand,soportar
centripetal,centrípeto
prioritize,prioritizar
vanquish,vencer
disparage,desacreditar
integrable,integrable
placate,aplacar
Germanism,germanismo
methamphetamine,metanfetamina
animalize,animalizar
milk,ordeñar
gargle,gargarizar
linear,lineal
adherent,adherente
genitive,genitivo
striped,rayado
astride,montado
buzz,zurriar
growl,gruñir
disallow,prohibir
grind,rutina
sterilizable,esterilizable
hassle,provocar
serious,serio
Hedwig,Eduvigis
biochemical,bioquímico
Tokelauan,tokelaués
inquisitive,inquisitivo
drum,tamborear
Machiavellian,maquiavélico
abortifacient,abortivo
phlegmatic,flemático
incompatible,incompatible
it's,es
correspond,corresponder
tough,severo
transfer,transferir
go,hacer
Jacob,Jacob
societism,societismo
static,estática
paradigm,paradigma
acidify,acidificar
adamant,adamantino
Mr,Sr
quarter,cuartear
cognoscente,experto
spank,nalguear
dash,salpicar
byname,apellido
return,devolver
agnostic,agnóstico
Orion,Orión
magnetic,magnético
Latvian,letón
digital,digital
masochist,masoquista
run,correr
oral,oral
exuberance,exuberancia
frighten,atemorizar
quaver,temblor
unleash,destraillar
awry,torcido
light,luminoso
respectively,respectivamente
reassure,tranquilizar
pallet,paleta
ebony,ébano
barely,apenas
unquestioningly,incondicionalmente
torpedo,torpedear
admission,admisión
uncover,destapar
completely,completamente
spyglass,catalejo
Sarah,Sara
treat,tratar
antecedent,antecedente
ballast,lastrar
Elginism,elginismo
reopen,reabrirse
twenty-four,veinticuatro
hardcore,intensísimo
efficiently,eficientemente
drinkable,potable
German,alemán
disappointed,decepcionado
openable,abertible
bollocks,chingados
acoustical,acústico
countable,numerable
invincible,invencible
chipolata,chipolata
humanly,humanamente
siliceous,silíceo
engraving,grabado
prepubescent,preadolescente
tattoo,tatuar
pass,pasar
backwards,invertido
Dorothy,Dorotea
Catholicize,catolizar
interest,interesar
ethnomusicology,etnomusicologia
cordially,cordialmente
dichotomy,dicotomía
collapse,colapsar
summarize,resumir
Lesbos,Lesbos
stubbornness,testarudez
stiffness,tiesura
thin,fino
fireproof,ignífugo
authoritative,autoritario
lich,liche
imaginary,imaginario
un-,in-
facial,facial
corpulent,obeso
they,se
slice,rebanar
push,empujar
drown,ahogar
pharmaceutically,farmacéuticamente
Auriga,Auriga
anti-Semitic,antisemita
pow,zas
correctly,correctamente
as,como
join,juntar
electronic,electrónico
Manitoba,Manitoba
weed,escardar
intervene,intervenir
lastborn,ultimogénito
ornamental,ornamental
slight,insignificante
carcass,cadáver
Florence,Florencia
reciprocally,recíprocamente
uphold,elevar
goal,meta
subjugate,sojuzgar
donate,donar
intangible,intangible
precession,precesión
neuter,neutro
familiarize,familiarizar
grand,grande
re-lay,reponer
promise,prometer
fair,inocente
cunning,astuto
sugar,azucarar
replaceable,reemplazable
sudden,repentino
Arawak,arahuaco
atherosclerotic,aterosclerótico
binder,carpeta
Asterix,Astérix
forget,olvidar
inundate,inundar
conditionally,condicionalmente
outline,contorno
subliminal,subliminal
thin,entresacar
difficult,difícil
infiltrate,infiltrar
together,junto
vacation,vacacionar
mezuzah,mezuzá
delicate,delicado
prolific,prolífico
eligibility,elegibilidad
linear,unidimensional
hear,oír
for,para
alarming,alarmante
hopeful,esperanzado
Oxford,Oxford
flatter,halagar
with,con
apograph,apógrafo
Taino,taíno
acuminate,acuminado
steadfast,firme
Ernest,Ernesto
empower,apoderar
following,próximo
pinch,pellizcar
decent,decente
pursue,perseguir
pessimistic,pesimista
notch,tarjar
preemptive,preventivo
individual,individuo
arouse,excitar
rob,robar
else,sino
Togolese,togolés
aristocratic,aristocrático
lament,lamentar
Buddhist,budista
structural,estructural
understand,entender
Byblos,Biblos
quench,apagar
analyse,analizar
Laban,Labán
Pythagoras,Pitágoras
Mongolian,mongol
fatal,fatal
buy,creer
pernicious,pernicioso
linguistic,lingüístico
tectonic,tectónico
easy,fácil
unqualified,incondicional
congregation,congregación
scourge,escoria
sweetheart,dulzura
entertain,entretener
after,después
new,nuevo
geospatial,geoespacial
brunost,geitost
eminent,eminente
sharp,agudo
dispatch,privar
superannuate,jubilarse
acutely,intensamente
patriarchal,patriarcal
mobilise,movilizarse
herald,anunciar
poetic,poético
yellow,cobarde
rise,resucitar
sleeve,enfundar
compete,competir
Leonese,leonés
grandiose,grandioso
biographical,biográfico
scatter,esparcir
acclaim,gritar
publicly,públicamente
absorb,absorber
normal,normal
easement,servidumbre
magnetic,magnético
consecutively,consecutivamente
indisputable,indisputable
salubrious,salubre
turn,girar
selfless,desinteresado
and/or,y/o
underrated,subestimado
Akkadian,acadio
guava,guayabo
inflexible,inflexible
whitewash,encubrir
median,mediano
garnish,guarnecer
astrophysics,astrofísica
Chinese,chino
narrative,narrativo
burden,gravar
emigrate,emigrar
Luxembourgish,luxemburgués
docile,dócil
kinetically,cinéticamente
Kali,Kali
sarcastically,sarcásticamente
abridged,abreviado
harsh,áspero
break,romper
talkative,hablador
outré,extravagante
assistant,ayudante
bleed,purgar
daft,estúpido
pattycake,arepitas
marvelous,maravilloso
incompetent,incompetente
versatile,versátil
hydrodynamically,hidrodinámicamente
discontented,descontento
Lecco,Lecco
dated,obsoleto
receive,recibir
corvine,corvino
bandy,arqueado
interchangeable,intercambiable
cystic,quístico
straight,heterosexual
pantyhose,pantimedias
Canopus,Canopo
orthodox,ortodoxo
supplement,suplemento
Thucydides,Tucídides
take,tomar
forgetful,olvidadizo
abusive,abusivo
derive,derivar
surely,seguramente
situated,situado
Galicia,Galitzia
scorch,chamuscar
how,cómo
hie,prisa
imagine,imaginar
fidelity,fidelidad
need,necesitar
Cebuano,cebuano
sign,autografiar
litany,letanía
predict,predecir
improvise,improvisar
down,abajo
elaborate,elaborar
vociferate,vociferar
incomprehensible,incomprensible
Acadian,acadio
sinuate,festoneado
fake,falsear
definitive,definitivo
veer,virar
Navarre,Navarra
repellent,impermeable
epopee,epopeya
formal,formal
Burmese,birmano
savage,salvaje
triskaidekaphobia,triscadecafobia
secrete,secretar
Arezzo,Arezzo
conservative,conservador
ugli,ugli
decrease,disminuir
fetter,impedir
fragment,fragmentar
femoral,femoral
salt,salino
electric,electrizante
vermilion,bermellón
appropriate,apropiado
armed,armado
bustle,abundar
famous,famoso
learn,estudiar
exceptional,excepcional
idealize,idealizar
teachable,enseñable
Fennicize,finlandizar
disillusioned,desilusionado
place,apostar
plunge,submergir
contradict,contradecir
double,doble
mobilise,movilizar
envelop,envolver
enrapture,enajenar
drill,perforar
fathom,braza
where,donde
Margaret,Margarita
ethnographic,etnográfico
c'mon,vamos
digest,resumen
establish,establecer
shy,vergonzoso
infringe,infringir
character,carácter
out,fuera
repugnant,repugnante
sting,picadura
vault,saltar
common,común
Peronist,peronista
Germanically,germánicamente
mischievously,malvadamente
Absalom,Absalón
insensitive,insensible
Tibetan,tibetano
primary,básico
Saarland,Sarre
oppress,oprimir
cosmological,cosmológico
abundantly,abundantemente
multiple,multiple
permanent,permanente
corral,acorralar
eschatological,escatológico
cheesemaker,quesero
toward,hacia
more,más
unaltered,inalterado
unthinkable,impensable
alcoholic,alcohólico
Herod,Herodes
immortalise,inmortalizar
singular,singular
Stephen,Esteban
co-father-in-law,consuegro
bevy,bandada
whereof,donde
coyote,coyote
Iraqi,iraquí
alluring,encantador
request,pedir
martial,marcial
to,a
black,negro
protest,protestar
impartially,imparcialmente
TM,MR
leaven,leudar
result,resultar
survive,sobrevivir
Benjamin,Benjamín
exhume,exhumar
authoritarian,autoritario
defibrillator,desfibrilador
sissy,afeminado
blackish,negruzco
prolong,prolongar
luminous,luminoso
Syrian,sirio
place,situar
as,mientras
murmur,soplo
weld,soldar
negotiable,negociable
clearly,claramente
inspect,inspeccionar
basis,base
investigate,examinar
irk,fastidiar
affordable,asequible
fix,fijar
conquer,conquistar
discretionary,discrecional
local,local
senarius,senario
know,saber
sulfur,azufrar
accountably,responsablemente
murder,asesinar
hobo,vagabundo
knot,anudar
Comoros,Comores
clump,marchar
Hippocrates,Hipócrates
grandma,abuela
anthropomorphic,antropomorfo
stranded,varado
embryonic,embrionario
dress,vestirse
narcissistic,narcisista
desirous,deseoso
glow,brillar
Hyacinthus,Jacinto
me,me
yeasty,levaduroso
succeed,suceder
swap,intercambiar
shrewd,perspicaz
Bernard,Bernardo
permanent,permanente
inharmonicity,inarmonía
Taiyuan,Taiyuan
black,negro
literally,literalmente
hysterically,histéricamente
shun,marginar
challenging,desafiante
frown,fruncir
accident,accidente
sixth,sexto
meander,deambular
Wilhelmina,Guillermina
capsize,zozobrar
cytoplasmic,citoplasmático
affect,fingir
research,investigar
bratwurst,bratwurst
pubic,púbico
arch,pícaro
light,encender
Tamil,tamil
just,justo
separate,separado
decent,decente
unreal,irreal
morbid,morboso
acetic,acético
oviparous,ovíparo
antiabortion,antiaborto
cartilaginous,cartilaginoso
reify,cosificar
enable,habilitar
totalizer,totalizador
hold,mantener
Plutarch,Plutarco
Georgian,georgiano
terminate,acabar
linear,lineal
lamia,lamia
monotonously,monótonamente
radial,radial
disintegrate,disgregar
vigorously,vigorosamente
nostalgic,nostálgico
sleep,dormir
sassy,insolente
Callisto,Calisto
petiole,pecíolo
meh,bah
errand,recado
confine,confinar
bold,negrita
mathematize,matematizar
absorbing,absorbente
roll,redoblar
hematologic,hematológico
asterism,asterismo
fair,pastel
stick,pegarse
aspartic,aspártico
everything,todo
smog,esmog
East,oriente
friable,flojo
epicene,epiceno
fostering,fomento
color,colorear
Cebu,Cebú
quadrilingual,cuatrilingüe
contrast,contrastar
contain,contener
irritable,irritable
Kalmyk,calmuco
koan,aporía
loyally,lealmente
Pieria,Pieria
flirtatious,coqueto
belligerent,bélico
exasperate,exasperar
oaf,manazas
ameban,amebiano
symbiotic,simbiótico
bargain,regatear
assorted,surtido
yes,sí
injure,herir
consequential,consiguiente
dash,lanzarse
diurnal,diurno
if,si
far-right,ultraderechista
collapsible,plegable
Belorussian,bielorruso
suggest,sugerir
albino,albino
fair,bello
idol,ídolo
Newspeak,neolengua
enliven,avivar
infarct,infarto
nervous,nervioso
audit,auditar
tear,rasgar
Iranian,iraní
twenty-six,veintiséis
fully,completamente
fare,viajar
transitively,transitivamente
calculation,cálculo
bittersweet,agridulce
wring,exprimir
sleev,enfundar
sunny,asoleado
cough,toser
Finlandization,finlandización
suppress,suprimir
Salerno,Salerno
maliciously,maliciosamente
tall,alto
eutrophic,eutrófico
although,aunque
you-know-who,Quien-tú-sabes
hoist,enarbolar
rob,robar
catatonic,catatónico
Sophocles,Sófocles
lie,mentir
undergo,experimentar
infirm,inseguro
lewd,lascivo
magnetic,magnético
sharp,filoso
double,doble
diatribe,diatriba
guarantee,garante
lay,acostar
stertorous,estertoroso
ha,ja
haha,jaja
until,hasta
magnificently,magníficamente
decompile,descompilar
matriarchal,matriarcal
WIPO,OMPI
happily,afortunadamente
original,original
quintessential,quintaesencial
third,tercio
knobbly,nudoso
poker,atizador
concentrate,concentrar
neglect,perecear
orally,oralmente
unexpected,inesperado
Nestor,Néstor
stereotypical,estereotípico
imply,insinuar
derelict,paria
recruit,reclutar
Hydrus,Hydrus
commit,cometer
tectonic,tectónico
seedy,endeble
reread,releer
tamp,apisonar
refuse,rehusar
Karachi,Karachi
acquainted,conocido
geophysical,geofísico
next,próximo
diacritical,diacrítico
empirical,empírico
equilateral,equilátero
uncork,descorchar
atypical,atípico
desertify,desertificarse
Freiburg,Friburgo
desire,desear
asylee,asilado
kernel,núcleo
stern,severo
parochialism,provincianismo
